rank,task_id,parent_priority_rank,direction,family_primary,anchor_score,anchor_cost,cost_rank,dossier_priority_score,best_seen_delta,gross_upside_lb,expected_lb,success_probability,hidden_risk,graphizability,family_reuse,pseudo_hidden_status,source_risk,rationale,next_gate
35,task077,0,semantic_rebuild,other,13.032857,157494.000000,14,49.000000,0.000000,1.654022,0.462656,0.279716,0.520000,0.360000,0.942319,not_run,lb-verified-current-anchor,"cost rank 14 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
36,task110,0,family_dsl,color_remap,13.411438,107857.000000,32,8.000000,0.000000,1.426873,0.377267,0.264401,0.520000,0.720000,0.860022,not_run,lb-verified-current-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
37,task209,0,semantic_rebuild,reduce,13.361711,113356.000000,28,48.000000,0.383668,0.983668,0.326027,0.331440,0.520000,0.480000,0.984806,not_run,lb-verified-current-anchor,"cost rank 28 | best-seen +0.38 | compiler +0.08 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
38,task205,0,compiler_golf,reduce,13.454482,103313.000000,39,8.000000,0.000000,1.401047,0.352280,0.251440,0.520000,0.480000,0.984806,not_run,lb-verified-current-anchor,compiler +0.08 | Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
39,task034,0,audit_before_swap,color_remap,13.421324,106796.000000,35,18.000000,0.004505,1.420941,0.340459,0.239601,0.550000,0.720000,0.860022,not_run,lb-verified-v4-anchor,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
40,task023,0,family_dsl,color_fill,13.807115,72612.000000,76,6.000000,1.201936,1.801936,0.503581,0.279467,0.520000,0.440000,0.809332,not_run,lb-verified-v4-anchor,best-seen +1.20 | Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
41,task044,0,family_dsl,symmetry/flip/rotate,14.309260,43947.000000,120,5.000000,0.323361,0.923361,0.283102,0.306600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,best-seen +0.32 | Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
42,task175,0,family_dsl,color_remap,13.619235,87620.000000,54,7.000000,0.986308,1.586308,0.434650,0.274001,0.680000,0.660000,0.860022,not_run,lb-verified-v4-anchor,best-seen +0.99 | graph risk 2 | Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
43,task182,0,pseudo_hidden_first,symmetry/flip/rotate,14.229685,47587.000000,115,10.000000,0.000000,0.545956,0.156253,0.286200,0.520000,0.780000,1.000000,not_run,lb-verified-v4-anchor,builder | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
44,task216,0,family_dsl,crop,13.449663,103812.000000,38,8.000000,0.002315,1.403938,0.356906,0.254218,0.480000,0.580000,0.752357,not_run,safe-source,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
45,task153,0,pseudo_hidden_first,reduce,15.018718,21618.000000,185,7.000000,0.631180,0.770842,0.240348,0.311800,0.520000,0.600000,1.000000,not_run,lb-verified-v4-anchor,best-seen +0.63 | builder | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
46,task128,0,family_dsl,symmetry/flip/rotate,13.538115,95024.000000,46,7.000000,0.000000,0.788006,0.210082,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-current-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
47,task280,0,family_dsl,symmetry/flip/rotate,13.586829,90506.000000,50,7.000000,0.000000,0.770956,0.205537,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
48,task187,0,semantic_rebuild,color_fill,13.435308,105313.000000,36,38.000000,0.000000,1.412551,0.385721,0.273067,0.560000,0.440000,0.809332,not_run,public-anchor-candidate,"public bottom15 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
49,task234,0,family_dsl,symmetry/flip/rotate,13.689154,81703.000000,62,7.000000,0.000000,0.735142,0.195989,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
50,task208,0,audit_before_swap,symmetry/flip/rotate,13.566031,92408.000000,49,17.000000,0.001462,0.778235,0.188177,0.241800,0.550000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
