task_id,status,kept,safe_initializer_count,candidate_param_save,original_cost,candidate_cost,cost_delta,original_score,candidate_score,score_delta,exact_train,exact_test,exact_arc_gen,exact_total,changed_initializers,consumer_positions,source_path,kept_path,error
233,kept,True,16,5993,1456755,1450762,5993,10.8082780827,10.8124005064,0.00412242369504,3,1,262,266,TWO_GRID;W_GRID;W_3x3;rot_bonus32_0;rot_bonus32_1;rot_bonus32_2;cand_max32;cand_weight32;paint_weight32;neg_score32;color_bonus32_1;color_bonus32_3;color_bonus32_4;color_bonus32_6;color_bonus32_7;used_init_b,"TWO_GRID=[Add:1];W_GRID=[Mul:1];W_3x3=[Mul:1,Mul:1,Mul:1,Mul:1,Mul:1,Mul:1,Mul:1,Mul:1];rot_bonus32_0=[Add:1,Add:1,Add:1,Add:1,Add:1,Add:1,Add:1,Add:1];rot_bonus32_1=[Add:1,Add:1,Add:1,Add:1,Add:1,Add:1,Add:1,Add:1,Add:1];rot_bonus32_2=[Add:1,Add:1,Add:1,Add:1,Add:1,Add:1,Add:1,Add:1];cand_max32=[Add:1,Sub:0,Sub:0,Sub:0,Sub:0,Sub:0,Sub:0,Sub:0,Sub:0];cand_weight32=[Mul:1,Mul:1,Mul:1,Mul:1,Mul:1,Mul:1,Mul:1,Mul:1];paint_weight32=[Mul:1,Mul:1,Mul:1,Mul:1,Mul:1,Mul:1,Mul:1,Mul:1];neg_score32=[Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2,Where:2];color_bonus32_1=[Add:1];color_bonus32_3=[Add:1];color_bonus32_4=[Add:1];color_bonus32_6=[Add:1];color_bonus32_7=[Add:1];used_init_b=[And:0]",submissions/candidate_v4_plus8_task149_bool_onnx/task233.onnx,submissions/uniform_scalar_v1_onnx/task233.onnx,
248,kept,True,1,9,7180,7171,9,16.120945338,16.1221996061,0.0012542681597,3,1,9,13,false_col_b,false_col_b=[And:1],submissions/candidate_v4_plus8_task149_bool_onnx/task248.onnx,submissions/uniform_scalar_v1_onnx/task248.onnx,
255,kept,True,1,899,1593763,1592864,899,10.7183915553,10.7189557883,0.000564232979794,3,1,261,265,zero_hw16,"zero_hw16=[Where:2,Where:2]",submissions/candidate_v4_plus8_task149_bool_onnx/task255.onnx,submissions/uniform_scalar_v1_onnx/task255.onnx,
264,kept,True,1,80,139436,139356,80,13.1546390064,13.155212911,0.000573904575424,2,1,262,265,v2,v2=[Sub:0],submissions/candidate_v4_plus8_task149_bool_onnx/task264.onnx,submissions/uniform_scalar_v1_onnx/task264.onnx,
267,kept,True,1,48,1255,1207,48,17.8651091484,17.9041067789,0.0389976304684,2,1,261,264,one_map,one_map=[Sub:0],submissions/candidate_v4_plus8_task149_bool_onnx/task267.onnx,submissions/uniform_scalar_v1_onnx/task267.onnx,
284,kept,True,1,899,102032,101133,899,13.4669582314,13.4758082388,0.00885000731093,3,1,262,266,zero_label,zero_label=[Where:2],submissions/candidate_v4_plus8_task149_bool_onnx/task284.onnx,submissions/uniform_scalar_v1_onnx/task284.onnx,
285,kept,True,8,7192,402660,395468,7192,12.0941521876,12.1121748473,0.0180226597041,3,1,261,265,ONE_HW;TWO_HW;NEG_HALF_HW;BOUND29_HW;PRIO_n1_n1;PRIO_n1_1;PRIO_1_n1;PRIO_1_1,"ONE_HW=[Sub:1,Sub:1,Sub:1,Sub:1,Sub:1];TWO_HW=[Mul:1,Mul:1];NEG_HALF_HW=[Greater:1,Greater:1];BOUND29_HW=[Less:1,Less:1];PRIO_n1_n1=[Add:1];PRIO_n1_1=[Add:1];PRIO_1_n1=[Add:1];PRIO_1_1=[Add:1]",submissions/candidate_v4_plus8_task149_bool_onnx/task285.onnx,submissions/uniform_scalar_v1_onnx/task285.onnx,
296,kept,True,1,8,4115,4107,8,16.6776058869,16.679551886,0.00194599915461,5,1,262,268,ones3,ones3=[Sub:0],submissions/candidate_v4_plus8_task149_bool_onnx/task296.onnx,submissions/uniform_scalar_v1_onnx/task296.onnx,
357,kept,True,1,9,7180,7171,9,16.120945338,16.1221996061,0.0012542681597,3,1,9,13,false_col_b,false_col_b=[And:1],submissions/candidate_v4_plus8_task149_bool_onnx/task357.onnx,submissions/uniform_scalar_v1_onnx/task357.onnx,
358,kept,True,4,78,112341,112263,78,13.3707058324,13.3714003882,0.000694555779377,2,1,262,265,v13;v14;v21;v22,v13=[Sub:1];v14=[Sub:1];v21=[Sub:1];v22=[Sub:1],submissions/candidate_v4_plus8_task149_bool_onnx/task358.onnx,submissions/uniform_scalar_v1_onnx/task358.onnx,
383,kept,True,1,8,129068,129060,8,13.2319053238,13.2319673085,6.19847517704e-05,3,1,262,266,v3,v3=[Sub:0],submissions/candidate_v4_plus8_task149_bool_onnx/task383.onnx,submissions/uniform_scalar_v1_onnx/task383.onnx,
