rank,task_id,parent_priority_rank,direction,family_primary,anchor_score,anchor_cost,cost_rank,dossier_priority_score,best_seen_delta,gross_upside_lb,expected_lb,success_probability,hidden_risk,graphizability,family_reuse,pseudo_hidden_status,source_risk,rationale,next_gate
18,task064,0,audit_before_swap,symmetry/flip/rotate,13.354705,114153.000000,27,63.000000,0.000000,1.460913,0.416360,0.285000,0.590000,0.780000,1.000000,not_run,lb-verified-v4-anchor,cost rank 27 | builder | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
19,task204,0,pseudo_hidden_first,other,13.314416,118846.000000,23,53.000000,0.000000,1.485086,0.472578,0.318216,0.520000,0.560000,0.992319,not_run,lb-verified-v4-anchor,cost rank 23 | prototype | builder | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
20,task383,0,semantic_rebuild,symmetry/flip/rotate,13.231967,129060.000000,21,48.000000,0.007154,1.534556,0.470495,0.306600,0.520000,0.660000,1.000000,not_run,lb-verified-current-anchor,"cost rank 21 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
21,task358,0,semantic_rebuild,symmetry/flip/rotate,13.371400,112263.000000,30,48.000000,0.000000,1.450896,0.444845,0.306600,0.520000,0.660000,1.000000,not_run,lb-verified-current-anchor,"cost rank 30 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
22,task202,0,audit_before_swap,symmetry/flip/rotate,13.258188,125720.000000,22,58.000000,0.000000,1.518823,0.367251,0.241800,0.550000,0.660000,1.000000,not_run,lb-verified-v4-anchor,cost rank 22 | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
23,task005,0,audit_before_swap,symmetry/flip/rotate,13.328150,117225.000000,24,58.000000,0.000000,1.476846,0.357101,0.241800,0.550000,0.660000,1.000000,not_run,lb-verified-v4-anchor,cost rank 24 | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
24,task013,0,audit_before_swap,symmetry/flip/rotate,13.331080,116882.000000,25,58.000000,0.000000,1.475088,0.356676,0.241800,0.550000,0.660000,1.000000,not_run,lb-verified-v4-anchor,cost rank 25 | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
25,task085,0,audit_before_swap,symmetry/flip/rotate,13.363283,113178.000000,29,58.000000,0.000000,1.455766,0.352004,0.241800,0.550000,0.660000,1.000000,not_run,lb-verified-v4-anchor,cost rank 29 | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
26,task071,0,audit_before_swap,color_remap,13.226404,129780.000000,20,58.000000,0.000000,1.537893,0.368481,0.239601,0.550000,0.720000,0.860022,not_run,lb-verified-v4-anchor,cost rank 20 | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
27,task219,0,defer,other,13.681837,82303.000000,61,32.000000,0.536336,1.136336,0.426599,0.375416,0.620000,0.600000,0.992319,not_run,lb-verified-current-anchor,best-seen +0.54 | prototype | builder | Avoid visible-family lookup staging; generalize the closed Python rule against pseudo-hidden shape families.,Avoid visible-family lookup staging; generalize the closed Python rule against pseudo-hidden shape families.
28,task367,0,semantic_rebuild,other,13.125192,143603.000000,16,49.000000,0.958775,1.558775,0.498365,0.319716,0.520000,0.360000,0.942319,not_run,lb-verified-v4-anchor,"cost rank 16 | best-seen +0.96 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
29,task363,0,pseudo_hidden_first,symmetry/flip/rotate,13.625050,87112.000000,55,12.000000,0.473758,1.073758,0.388486,0.361800,0.620000,0.800000,1.000000,not_run,lb-verified-v4-anchor,best-seen +0.47 | prototype | builder | graph risk 2 | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
30,task382,0,family_dsl,symmetry/flip/rotate,13.416113,107354.000000,33,8.000000,0.000000,1.424068,0.379657,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
31,task370,0,family_dsl,symmetry/flip/rotate,13.417493,107206.000000,34,8.000000,0.000000,1.423240,0.379436,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
32,task396,0,semantic_rebuild,reduce,13.211809,131688.000000,19,48.000000,0.000000,1.546650,0.435908,0.281840,0.580000,0.480000,0.984806,not_run,lb-verified-current-anchor,"cost rank 19 | compiler +0.07 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
33,task264,0,semantic_rebuild,reduce,13.155213,139356.000000,18,49.000000,0.560822,1.160822,0.384743,0.331440,0.520000,0.480000,0.984806,not_run,lb-verified-current-anchor,"cost rank 18 | best-seen +0.56 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
34,task284,0,family_dsl,symmetry/flip/rotate,13.475808,101133.000000,40,8.000000,0.000000,1.388251,0.370108,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-current-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
35,task077,0,semantic_rebuild,other,13.032857,157494.000000,14,49.000000,0.000000,1.654022,0.462656,0.279716,0.520000,0.360000,0.942319,not_run,lb-verified-current-anchor,"cost rank 14 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
36,task110,0,family_dsl,color_remap,13.411438,107857.000000,32,8.000000,0.000000,1.426873,0.377267,0.264401,0.520000,0.720000,0.860022,not_run,lb-verified-current-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
37,task209,0,semantic_rebuild,reduce,13.361711,113356.000000,28,48.000000,0.383668,0.983668,0.326027,0.331440,0.520000,0.480000,0.984806,not_run,lb-verified-current-anchor,"cost rank 28 | best-seen +0.38 | compiler +0.08 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
38,task205,0,compiler_golf,reduce,13.454482,103313.000000,39,8.000000,0.000000,1.401047,0.352280,0.251440,0.520000,0.480000,0.984806,not_run,lb-verified-current-anchor,compiler +0.08 | Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
39,task034,0,audit_before_swap,color_remap,13.421324,106796.000000,35,18.000000,0.004505,1.420941,0.340459,0.239601,0.550000,0.720000,0.860022,not_run,lb-verified-v4-anchor,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
40,task023,0,family_dsl,color_fill,13.807115,72612.000000,76,6.000000,1.201936,1.801936,0.503581,0.279467,0.520000,0.440000,0.809332,not_run,lb-verified-v4-anchor,best-seen +1.20 | Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
41,task044,0,family_dsl,symmetry/flip/rotate,14.309260,43947.000000,120,5.000000,0.323361,0.923361,0.283102,0.306600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,best-seen +0.32 | Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
42,task175,0,family_dsl,color_remap,13.619235,87620.000000,54,7.000000,0.986308,1.586308,0.434650,0.274001,0.680000,0.660000,0.860022,not_run,lb-verified-v4-anchor,best-seen +0.99 | graph risk 2 | Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
43,task182,0,pseudo_hidden_first,symmetry/flip/rotate,14.229685,47587.000000,115,10.000000,0.000000,0.545956,0.156253,0.286200,0.520000,0.780000,1.000000,not_run,lb-verified-v4-anchor,builder | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
44,task216,0,family_dsl,crop,13.449663,103812.000000,38,8.000000,0.002315,1.403938,0.356906,0.254218,0.480000,0.580000,0.752357,not_run,safe-source,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
45,task153,0,pseudo_hidden_first,reduce,15.018718,21618.000000,185,7.000000,0.631180,0.770842,0.240348,0.311800,0.520000,0.600000,1.000000,not_run,lb-verified-v4-anchor,best-seen +0.63 | builder | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
46,task128,0,family_dsl,symmetry/flip/rotate,13.538115,95024.000000,46,7.000000,0.000000,0.788006,0.210082,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-current-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
47,task280,0,family_dsl,symmetry/flip/rotate,13.586829,90506.000000,50,7.000000,0.000000,0.770956,0.205537,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
48,task187,0,semantic_rebuild,color_fill,13.435308,105313.000000,36,38.000000,0.000000,1.412551,0.385721,0.273067,0.560000,0.440000,0.809332,not_run,public-anchor-candidate,"public bottom15 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
49,task234,0,family_dsl,symmetry/flip/rotate,13.689154,81703.000000,62,7.000000,0.000000,0.735142,0.195989,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
50,task208,0,audit_before_swap,symmetry/flip/rotate,13.566031,92408.000000,49,17.000000,0.001462,0.778235,0.188177,0.241800,0.550000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
